"SCHEMA_NAME","TBL_NAME","COL_NAME","DATA_TYPE","LEN","SCALE","MANDATORY","DEFAULT_VALUE","COL_POSITION","LAST_UPDATE_DATE","LAST_UPDATE_USER"
"VTXEDW","VESL_EDW_INVEST_PROD_HP","AS_OF_DT","date","0","0","0","","1","2023-03-09 06:23:10.626","montarat"
"VTXEDW","VESL_EDW_INVEST_PROD_HP","INVESTMENT_PRODUCT_ID","int","0","0","0","","2","2023-03-09 06:23:10.626","montarat"
"VTXEDW","VESL_EDW_INVEST_PROD_HP","PRODUCT_CTL_ID","char","10","0","0","","3","2023-03-09 06:23:10.626","montarat"
"VTXEDW","VESL_EDW_INVEST_PROD_HP","PRODUCT_DESC","varchar","250","0","0","","4","2023-03-09 06:23:10.626","montarat"
"VTXEDW","VESL_EDW_INVEST_PROD_HP","HOST_PROD_ID","varchar","35","0","0","","5","2023-03-09 06:23:10.626","montarat"
"VTXEDW","VESL_EDW_INVEST_PROD_HP","PROD_ISSUE_DT","date","0","0","0","","6","2023-03-09 06:23:10.626","montarat"
"VTXEDW","VESL_EDW_INVEST_PROD_HP","PROD_MATURITY_DT","date","0","0","0","","7","2023-03-09 06:23:10.626","montarat"
"VTXEDW","VESL_EDW_INVEST_PROD_HP","INVESTMENT_NUM","varchar","50","0","0","","8","2023-03-09 06:23:10.626","montarat"
"VTXEDW","VESL_EDW_INVEST_PROD_HP","INVEST_PROD_TRADE_TYPE_CD","smallint","0","0","0","","9","2023-03-09 06:23:10.626","montarat"
"VTXEDW","VESL_EDW_INVEST_PROD_HP","INVEST_PROD_TYPE_CD","smallint","0","0","0","","10","2023-03-09 06:23:10.626","montarat"
"VTXEDW","VESL_EDW_INVEST_PROD_HP","DENOMINATION_CURRENCY_CD","smallint","0","0","0","","11","2023-03-09 06:23:10.626","montarat"
"VTXEDW","VESL_EDW_INVEST_PROD_HP","CUSTODIAN_NAME","varchar","100","0","0","","12","2023-03-09 06:23:10.626","montarat"
"VTXEDW","VESL_EDW_INVEST_PROD_HP","ISIN_NUM","varchar","150","0","0","","13","2023-03-09 06:23:10.626","montarat"
"VTXEDW","VESL_EDW_INVEST_PROD_HP","BOND_PRODUCT_GROUP_VAL","string","0","0","0","","14","2023-03-09 06:23:10.626","montarat"
"VTXEDW","VESL_EDW_INVEST_PROD_HP","INSTRUMENT_TYPE_GROUP_VAL","string","0","0","0","","15","2023-03-09 06:23:10.626","montarat"
"VTXEDW","VESL_EDW_INVEST_PROD_HP","TREASURY_PRODUCT_GROUP_VAL","string","0","0","0","","16","2023-03-09 06:23:10.626","montarat"
"VTXEDW","VESL_EDW_INVEST_PROD_HP","INVEST_PROD_VALUE_DT","date","0","0","0","","17","2023-03-09 06:23:10.626","montarat"
"VTXEDW","VESL_EDW_INVEST_PROD_HP","INVEST_PROD_VALUE_TM","timestamp","0","0","0","","18","2023-03-09 06:23:10.626","montarat"
"VTXEDW","VESL_EDW_INVEST_PROD_HP","INVEST_PROD_MARKET_PRICE_AMT","null","0","0","0","","19","2023-03-09 06:23:10.626","montarat"
