"SCHEMA_NAME","TBL_NAME","COL_NAME","DATA_TYPE","LEN","SCALE","MANDATORY","DEFAULT_VALUE","COL_POSITION","LAST_UPDATE_DATE","LAST_UPDATE_USER"
"VTPCSM","TVCSM_PP_INFO_TEMP_01","CARD_NUM","VARCHAR","100","0","0","","1","2023-03-08 22:53:08.115","Phase2"
"VTPCSM","TVCSM_PP_INFO_TEMP_01","PP_NUM","VARCHAR","20","0","0","","2","2023-03-08 22:53:08.115","Phase2"
"VTPCSM","TVCSM_PP_INFO_TEMP_01","PP_TYPE","VARCHAR","100","0","0","","3","2023-03-08 22:53:08.115","Phase2"
"VTPCSM","TVCSM_PP_INFO_TEMP_01","PP_EXPIRY_DT","DATE","10","0","0","","4","2023-03-08 22:53:08.115","Phase2"
"VTPCSM","TVCSM_PP_INFO_TEMP_01","PP_EMBOSS_NAME","VARCHAR","100","0","0","","5","2023-03-08 22:53:08.115","Phase2"
"VTPCSM","TVCSM_PP_INFO_TEMP_01","PP_STATUS","VARCHAR","100","0","0","","6","2023-03-08 22:53:08.115","Phase2"
"VTPCSM","TVCSM_PP_INFO_TEMP_01","PP_REASON","VARCHAR","100","0","0","","7","2023-03-08 22:53:08.115","Phase2"
"VTPCSM","TVCSM_PP_INFO_TEMP_01","PARTY_ID","INTEGER","10","0","0","","8","2023-03-08 22:53:08.115","Phase2"
"VTPCSM","TVCSM_PP_INFO_TEMP_01","PP_LOST_CANCEL_DT","DATE","10","0","0","","9","2023-03-08 22:53:08.115","Phase2"
"VTPCSM","TVCSM_PP_INFO_TEMP_01","CARD_EXPIRY_DT","DATE","10","0","0","","10","2023-03-08 22:53:08.115","Phase2"
"VTPCSM","TVCSM_PP_INFO_TEMP_01","PRODUCT_TYPE","VARCHAR","50","0","0","","11","2023-03-08 22:53:08.115","Phase2"
"VTPCSM","TVCSM_PP_INFO_TEMP_01","TBSP_FLAG","VARCHAR","50","0","0","","12","2023-03-08 22:53:08.115","Phase2"
"VTPCSM","TVCSM_PP_INFO_TEMP_01","HK_FLAG","VARCHAR","50","0","0","","13","2023-03-08 22:53:08.115","Phase2"
