"SCHEMA_NAME","TBL_NAME","COL_NAME","DATA_TYPE","LEN","SCALE","MANDATORY","DEFAULT_VALUE","COL_POSITION","LAST_UPDATE_DATE","LAST_UPDATE_USER"
"DTTBO","FACT_PREMIUM_SCB_LIFE","AS_OF_DT","date","0","0","0","","1","2023-03-08 10:49:23.015","montarat"
"DTTBO","FACT_PREMIUM_SCB_LIFE","APP_ID","varchar","50","0","0","","2","2023-03-08 10:49:23.015","montarat"
"DTTBO","FACT_PREMIUM_SCB_LIFE","CERT_NUM","varchar","50","0","0","","3","2023-03-08 10:49:23.015","montarat"
"DTTBO","FACT_PREMIUM_SCB_LIFE","CERT_YEAR","varchar","50","0","0","","4","2023-03-08 10:49:23.015","montarat"
"DTTBO","FACT_PREMIUM_SCB_LIFE","INS_ACCT_ID","varchar","50","0","0","","5","2023-03-08 10:49:23.015","montarat"
"DTTBO","FACT_PREMIUM_SCB_LIFE","RUNNING_NUMBER","varchar","1000","0","0","","6","2023-03-08 10:49:23.015","montarat"
"DTTBO","FACT_PREMIUM_SCB_LIFE","CUSTOMER_ID","varchar","250","0","0","","7","2023-03-08 10:49:23.015","montarat"
"DTTBO","FACT_PREMIUM_SCB_LIFE","PREMIUM_AMT","decimal","18","2","0","","8","2023-03-08 10:49:23.015","montarat"
"DTTBO","FACT_PREMIUM_SCB_LIFE","PREMIUM_VAT","decimal","18","2","0","","9","2023-03-08 10:49:23.015","montarat"
"DTTBO","FACT_PREMIUM_SCB_LIFE","LIFE_PREMIUM","decimal","18","2","0","","10","2023-03-08 10:49:23.015","montarat"
"DTTBO","FACT_PREMIUM_SCB_LIFE","RIDER_PREMIUM","decimal","18","2","0","","11","2023-03-08 10:49:23.015","montarat"
"DTTBO","FACT_PREMIUM_SCB_LIFE","PAYMENT_DATE","date","0","0","0","","12","2023-03-08 10:49:23.015","montarat"
"DTTBO","FACT_PREMIUM_SCB_LIFE","PAYMENT_TYPE","smallint","0","0","0","","13","2023-03-08 10:49:23.015","montarat"
"DTTBO","FACT_PREMIUM_SCB_LIFE","PAYMENT_CHANNEL_TYPE","smallint","0","0","0","","14","2023-03-08 10:49:23.015","montarat"
"DTTBO","FACT_PREMIUM_SCB_LIFE","PAYMENT_CHANNEL","varchar","250","0","0","","15","2023-03-08 10:49:23.015","montarat"
"DTTBO","FACT_PREMIUM_SCB_LIFE","PAY_INSTALLMENT_YEAR","varchar","250","0","0","","16","2023-03-08 10:49:23.015","montarat"
"DTTBO","FACT_PREMIUM_SCB_LIFE","PAY_INSTALLMENT_Time","varchar","250","0","0","","17","2023-03-08 10:49:23.015","montarat"
"DTTBO","FACT_PREMIUM_SCB_LIFE","Start_Dt","date","0","0","0","","18","2023-03-08 10:49:23.015","montarat"
"DTTBO","FACT_PREMIUM_SCB_LIFE","End_Dt","date","0","0","0","","19","2023-03-08 10:49:23.015","montarat"
"DTTBO","FACT_PREMIUM_SCB_LIFE","Record_Deleted_Flag","smallint","0","0","1","","20","2023-03-08 10:49:23.015","montarat"
"DTTBO","FACT_PREMIUM_SCB_LIFE","Ctl_Id","char","10","0","0","","21","2023-03-08 10:49:23.015","montarat"
"DTTBO","FACT_PREMIUM_SCB_LIFE","Ins_Txf_Batch_Id","int","0","0","0","","22","2023-03-08 10:49:23.015","montarat"
"DTTBO","FACT_PREMIUM_SCB_LIFE","Upd_Txf_Batch_Id","int","0","0","0","","23","2023-03-08 10:49:23.015","montarat"
"DTTBO","FACT_PREMIUM_SCB_LIFE","Ins_Proc_Name","char","35","0","0","","24","2023-03-08 10:49:23.015","montarat"
"DTTBO","FACT_PREMIUM_SCB_LIFE","Upd_Proc_Name","char","35","0","0","","25","2023-03-08 10:49:23.015","montarat"
