"SCHEMA_NAME","TBL_NAME","COL_NAME","DATA_TYPE","LEN","SCALE","MANDATORY","DEFAULT_VALUE","COL_POSITION","LAST_UPDATE_DATE","LAST_UPDATE_USER"
"DTTBO","FACT_DLQ_HP_DAY","As_Of_Dt","date","0","0","1","","1","2023-03-08 10:49:05.809","Common_Team"
"DTTBO","FACT_DLQ_HP_DAY","Account_Num","varchar","100","0","1","","2","2023-03-08 10:49:05.809","Common_Team"
"DTTBO","FACT_DLQ_HP_DAY","Account_Modifier_Num","varchar","20","0","1","","3","2023-03-08 10:49:05.809","Common_Team"
"DTTBO","FACT_DLQ_HP_DAY","Product","varchar","100","0","1","","4","2023-03-08 10:49:05.809","Common_Team"
"DTTBO","FACT_DLQ_HP_DAY","Base_Account_Num","varchar","100","0","0","","5","2023-03-08 10:49:05.809","Common_Team"
"DTTBO","FACT_DLQ_HP_DAY","Active_Ind","char","3","0","0","","6","2023-03-08 10:49:05.809","Common_Team"
"DTTBO","FACT_DLQ_HP_DAY","Branch_Code","char","10","0","0","","7","2023-03-08 10:49:05.809","Common_Team"
"DTTBO","FACT_DLQ_HP_DAY","Oc_Code","char","10","0","0","","8","2023-03-08 10:49:05.809","Common_Team"
"DTTBO","FACT_DLQ_HP_DAY","Last_Payment_Dt","date","0","0","0","","9","2023-03-08 10:49:05.809","Common_Team"
"DTTBO","FACT_DLQ_HP_DAY","Past_Due_Dt","date","0","0","0","","10","2023-03-08 10:49:05.809","Common_Team"
"DTTBO","FACT_DLQ_HP_DAY","Next_Payment_Dt","date","0","0","0","","11","2023-03-08 10:49:05.809","Common_Team"
"DTTBO","FACT_DLQ_HP_DAY","Aging","smallint","0","0","0","","12","2023-03-08 10:49:05.809","Common_Team"
"DTTBO","FACT_DLQ_HP_DAY","Last_Payment_Amt","decimal","18","2","0","","13","2023-03-08 10:49:05.809","Common_Team"
"DTTBO","FACT_DLQ_HP_DAY","Past_Due_Amt","decimal","18","2","0","","14","2023-03-08 10:49:05.809","Common_Team"
"DTTBO","FACT_DLQ_HP_DAY","Original_Balance_Amt","decimal","18","2","0","","15","2023-03-08 10:49:05.809","Common_Team"
"DTTBO","FACT_DLQ_HP_DAY","Account_Currency_Cd","smallint","0","0","0","","16","2023-03-08 10:49:05.809","Common_Team"
"DTTBO","FACT_DLQ_HP_DAY","Cust_Balance_Amt","decimal","18","2","0","","17","2023-03-08 10:49:05.809","Common_Team"
"DTTBO","FACT_DLQ_HP_DAY","Cust_Balance_Baht_Amt","decimal","18","2","0","","18","2023-03-08 10:49:05.809","Common_Team"
"DTTBO","FACT_DLQ_HP_DAY","Outstanding_UID_Amt","decimal","18","2","0","","19","2023-03-08 10:49:05.809","Common_Team"
"DTTBO","FACT_DLQ_HP_DAY","Outstanding_UID_Baht_Amt","decimal","18","2","0","","20","2023-03-08 10:49:05.809","Common_Team"
"DTTBO","FACT_DLQ_HP_DAY","Start_Dt","date","0","0","0","","21","2023-03-08 10:49:05.809","Common_Team"
"DTTBO","FACT_DLQ_HP_DAY","End_Dt","date","0","0","0","","22","2023-03-08 10:49:05.809","Common_Team"
"DTTBO","FACT_DLQ_HP_DAY","Record_Deleted_Flag","smallint","0","0","1","","23","2023-03-08 10:49:05.809","Common_Team"
"DTTBO","FACT_DLQ_HP_DAY","Ctl_Id","char","10","0","0","","24","2023-03-08 10:49:05.809","Common_Team"
"DTTBO","FACT_DLQ_HP_DAY","Ins_Txf_Batch_Id","int","0","0","0","","25","2023-03-08 10:49:05.809","Common_Team"
"DTTBO","FACT_DLQ_HP_DAY","Upd_Txf_Batch_Id","int","0","0","0","","26","2023-03-08 10:49:05.809","Common_Team"
"DTTBO","FACT_DLQ_HP_DAY","Ins_Proc_Name","char","35","0","0","","27","2023-03-08 10:49:05.809","Common_Team"
"DTTBO","FACT_DLQ_HP_DAY","Upd_Proc_Name","char","35","0","0","","28","2023-03-08 10:49:05.809","Common_Team"
