"INTERFACE_NAME","COL_NAME","EXPRESSION","EXE_DB","INSERT_FLAG","UPDATE_FLAG","KEY_UPD","UD1","UD2","UD3","UD4","UD5","COL_POSITION","LAST_UPDATE_DATE","LAST_UPDATE_USER"
"INT_T_PPS_PROVISION_WHOLSAL","PARTID","LEFT(PARTID,16)","1","1","1","1","1","0","0","0","0","1","2023-03-12 05:53:11.255","Common_Team"
"INT_T_PPS_PROVISION_WHOLSAL","IACCT","LEFT(IACCT,20)","1","1","1","1","1","0","0","0","0","2","2023-03-12 05:53:11.255","Common_Team"
"INT_T_PPS_PROVISION_WHOLSAL","CCLASS","LEFT(CCLASS,2)","1","1","1","0","0","0","0","0","0","3","2023-03-12 05:53:11.255","Common_Team"
"INT_T_PPS_PROVISION_WHOLSAL","CCLASS_NAME","LEFT(CCLASS_NAME,2)","1","1","1","0","0","0","0","0","0","4","2023-03-12 05:53:11.255","Common_Team"
"INT_T_PPS_PROVISION_WHOLSAL","RESTRUCTURE_FLAG","LEFT(RESTRUCTURE_FLAG,30)","1","1","1","0","0","0","0","0","0","5","2023-03-12 05:53:11.255","Common_Team"
"INT_T_PPS_PROVISION_WHOLSAL","ABAL","TV_PPS_PROVISION_WHOLSAL.ABAL","0","1","1","0","0","0","0","0","0","6","2023-03-12 05:53:11.255","Phase3"
"INT_T_PPS_PROVISION_WHOLSAL","PERCENT_PD","TV_PPS_PROVISION_WHOLSAL.PERCENT_PD","0","1","1","0","0","0","0","0","0","7","2023-03-12 05:53:11.255","Phase3"
"INT_T_PPS_PROVISION_WHOLSAL","PERCENT_LGD","TV_PPS_PROVISION_WHOLSAL.PERCENT_LGD","0","1","1","0","0","0","0","0","0","8","2023-03-12 05:53:11.255","Phase3"
"INT_T_PPS_PROVISION_WHOLSAL","PERCENT_BOT","TV_PPS_PROVISION_WHOLSAL.PERCENT_BOT","0","1","1","0","0","0","0","0","0","9","2023-03-12 05:53:11.255","Phase3"
"INT_T_PPS_PROVISION_WHOLSAL","PROVISION_INT","TV_PPS_PROVISION_WHOLSAL.PROVISION_INT","0","1","1","0","0","0","0","0","0","10","2023-03-12 05:53:11.255","Phase3"
"INT_T_PPS_PROVISION_WHOLSAL","PROVISION_MIN_BOT","TV_PPS_PROVISION_WHOLSAL.PROVISION_MIN_BOT","0","1","1","0","0","0","0","0","0","11","2023-03-12 05:53:11.255","Phase3"
