"INTERFACE_NAME","COL_NAME","EXPRESSION","EXE_DB","INSERT_FLAG","UPDATE_FLAG","KEY_UPD","UD1","UD2","UD3","UD4","UD5","COL_POSITION","LAST_UPDATE_DATE","LAST_UPDATE_USER"
"INS_T_TBI_FINGL_RC_SUB_LEV","SET_OF_BOOKS_CD","TVBI_FINGL_RC_SUB_LEV.SET_OF_BOOKS_CD","0","1","1","1","1","0","0","0","0","1","2023-03-09 03:11:37.076","Phase3"
"INS_T_TBI_FINGL_RC_SUB_LEV","BANK_CD","TVBI_FINGL_RC_SUB_LEV.BANK_CD","0","1","1","1","1","0","0","0","0","2","2023-03-09 03:11:37.076","Phase3"
"INS_T_TBI_FINGL_RC_SUB_LEV","PARTY_ID","TVBI_FINGL_RC_SUB_LEV.PARTY_ID","0","1","1","1","1","0","0","0","0","3","2023-03-09 03:11:37.076","Phase3"
"INS_T_TBI_FINGL_RC_SUB_LEV","RC","LEFT(RC,10)","1","1","1","0","0","0","0","0","0","4","2023-03-09 03:11:37.076","Common_Team"
"INS_T_TBI_FINGL_RC_SUB_LEV","RC_NAME_EN","LEFT(RC_NAME_EN,100)","1","1","1","0","0","0","0","0","0","5","2023-03-09 03:11:37.076","Common_Team"
"INS_T_TBI_FINGL_RC_SUB_LEV","RC_NAME_TH","LEFT(RC_NAME_TH,100)","1","1","1","0","0","0","0","0","0","6","2023-03-09 03:11:37.076","Common_Team"
"INS_T_TBI_FINGL_RC_SUB_LEV","RC_NAME_DESC_EN","LEFT(RC_NAME_DESC_EN,250)","1","1","1","0","0","0","0","0","0","7","2023-03-09 03:11:37.076","Common_Team"
"INS_T_TBI_FINGL_RC_SUB_LEV","RC_NAME_DESC_TH","LEFT(RC_NAME_DESC_TH,250)","1","1","1","0","0","0","0","0","0","8","2023-03-09 03:11:37.076","Common_Team"
"INS_T_TBI_FINGL_RC_SUB_LEV","CHILD_SEGMENT_MAX_VALUE","TVBI_FINGL_RC_SUB_LEV.CHILD_SEGMENT_MAX_VALUE","0","1","1","0","0","0","0","0","0","9","2023-03-09 03:11:37.076","Phase3"
"INS_T_TBI_FINGL_RC_SUB_LEV","CHILD_SEGMENT_MIN_VALUE","TVBI_FINGL_RC_SUB_LEV.CHILD_SEGMENT_MIN_VALUE","0","1","1","0","0","0","0","0","0","10","2023-03-09 03:11:37.076","Phase3"
