"INTERFACE_NAME","COL_NAME","EXPRESSION","EXE_DB","INSERT_FLAG","UPDATE_FLAG","KEY_UPD","UD1","UD2","UD3","UD4","UD5","COL_POSITION","LAST_UPDATE_DATE","LAST_UPDATE_USER"
"INT_L_LOS_EDW_BUSST","ID","LEFT(ID,38)","1","1","0","0","1","0","0","0","0","1","2023-03-12 00:35:57.325","Common_Team"
"INT_L_LOS_EDW_BUSST","USERCODE","LEFT(USERCODE,100)","1","1","0","0","0","0","0","0","0","2","2023-03-12 00:35:57.325","Common_Team"
"INT_L_LOS_EDW_BUSST","LABEL","LEFT(LABEL,80)","1","1","0","0","0","0","0","0","0","3","2023-03-12 00:35:57.325","Common_Team"
"INT_L_LOS_EDW_BUSST","DESCRIPTION","LEFT(DESCRIPTION,510)","1","1","0","0","0","0","0","0","0","4","2023-03-12 00:35:57.325","Common_Team"
"INT_L_LOS_EDW_BUSST","LISTORDER","LOS_BUSST_1_0.LISTORDER","0","1","0","0","0","0","0","0","0","5","2023-03-12 00:35:57.325","montarat"
"INT_L_LOS_EDW_BUSST","BHTIMESTAMP","LOS_BUSST_1_0.BHTIMESTAMP","0","1","0","0","0","0","0","0","0","6","2023-03-12 00:35:57.325","montarat"
"INT_L_LOS_EDW_BUSST","BHTRIGGERID","LOS_BUSST_1_0.BHTRIGGERID","0","1","0","0","0","0","0","0","0","7","2023-03-12 00:35:57.325","montarat"
"INT_L_LOS_EDW_BUSST","START_DT","","0","1","0","0","0","0","0","0","0","8","2023-03-12 00:35:57.325","montarat"
"INT_L_LOS_EDW_BUSST","END_DT","","0","1","0","0","0","0","0","0","0","9","2023-03-12 00:35:57.325","montarat"
"INT_L_LOS_EDW_BUSST","RECORD_DELETED_FLAG","","0","1","0","0","0","0","0","0","0","10","2023-03-12 00:35:57.325","montarat"
"INT_L_LOS_EDW_BUSST","CTL_ID","","0","1","0","0","0","0","0","0","0","11","2023-03-12 00:35:57.325","montarat"
"INT_L_LOS_EDW_BUSST","INS_PROC_NAME","","0","1","0","0","0","0","0","0","0","12","2023-03-12 00:35:57.325","montarat"
"INT_L_LOS_EDW_BUSST","INS_TXF_BATCHID","","0","1","0","0","0","0","0","0","0","13","2023-03-12 00:35:57.325","montarat"
"INT_L_LOS_EDW_BUSST","UPD_PROC_NAME","","0","1","0","0","0","0","0","0","0","14","2023-03-12 00:35:57.325","montarat"
"INT_L_LOS_EDW_BUSST","UPD_TXF_BATCHID","","0","1","0","0","0","0","0","0","0","15","2023-03-12 00:35:57.325","montarat"
