"SCHEMA_NAME","TBL_NAME","COL_NAME","DATA_TYPE","LEN","SCALE","MANDATORY","DEFAULT_VALUE","COL_POSITION","LAST_UPDATE_DATE","LAST_UPDATE_USER"
"VMTEDW","PMH_RTP_REQUEST","EDW_RECORD_NO","BIGINT","0","0","0","","1","2023-02-16 19:23:58.112","INT_SOMKIATC"
"VMTEDW","PMH_RTP_REQUEST","PMH_SYSTEM_DT","DATE","0","0","1","","2","2023-02-16 19:23:58.112","INT_SOMKIATC"
"VMTEDW","PMH_RTP_REQUEST","PMH_SYSTEM_CHANNEL_TM","TIMESTAMP","26","0","1","","3","2023-02-16 19:23:58.112","INT_SOMKIATC"
"VMTEDW","PMH_RTP_REQUEST","EVENT_GROUP","VARCHAR","100","0","0","","4","2023-02-16 19:23:58.112","INT_SOMKIATC"
"VMTEDW","PMH_RTP_REQUEST","EVENT_NAME","VARCHAR","100","0","0","","5","2023-02-16 19:23:58.112","INT_SOMKIATC"
"VMTEDW","PMH_RTP_REQUEST","REQUEST_ID","VARCHAR","36","0","0","","6","2023-02-16 19:23:58.112","INT_SOMKIATC"
"VMTEDW","PMH_RTP_REQUEST","REQUEST_DT","DATE","0","0","0","","7","2023-02-16 19:23:58.112","INT_SOMKIATC"
"VMTEDW","PMH_RTP_REQUEST","REQUEST_TM","TIMESTAMP","26","0","0","","8","2023-02-16 19:23:58.112","INT_SOMKIATC"
"VMTEDW","PMH_RTP_REQUEST","RESPONSE_STATUS","VARCHAR","100","0","0","","9","2023-02-16 19:23:58.112","INT_SOMKIATC"
"VMTEDW","PMH_RTP_REQUEST","RESPONSE_CD","VARCHAR","10","0","0","","10","2023-02-16 19:23:58.112","INT_SOMKIATC"
"VMTEDW","PMH_RTP_REQUEST","RESPONSE_DESC","VARCHAR","100","0","0","","11","2023-02-16 19:23:58.112","INT_SOMKIATC"
"VMTEDW","PMH_RTP_REQUEST","EXPIRE_DT","DATE","0","0","0","","12","2023-02-16 19:23:58.112","INT_SOMKIATC"
"VMTEDW","PMH_RTP_REQUEST","RTP_REF_ID","VARCHAR","16","0","1","","13","2023-02-16 19:23:58.112","INT_SOMKIATC"
"VMTEDW","PMH_RTP_REQUEST","REQUEST_FR_CHANNEL","VARCHAR","8","0","0","","14","2023-02-16 19:23:58.112","INT_SOMKIATC"
"VMTEDW","PMH_RTP_REQUEST","CHANNEL_CD","VARCHAR","4","0","0","","15","2023-02-16 19:23:58.112","INT_SOMKIATC"
"VMTEDW","PMH_RTP_REQUEST","REQUEST_AMT","DECIMAL","38","2","0","","16","2023-02-16 19:23:58.112","INT_SOMKIATC"
"VMTEDW","PMH_RTP_REQUEST","REQUESTER_NOTE","VARCHAR","40","0","0","","17","2023-02-16 19:23:58.112","INT_SOMKIATC"
"VMTEDW","PMH_RTP_REQUEST","NOTI_DESTINATION_PUSH","VARCHAR","30","0","0","","18","2023-02-16 19:23:58.112","INT_SOMKIATC"
"VMTEDW","PMH_RTP_REQUEST","NOTI_DESTINATION_SMS","VARCHAR","10","0","0","","19","2023-02-16 19:23:58.112","INT_SOMKIATC"
"VMTEDW","PMH_RTP_REQUEST","FR_PAYEE_PROXY_TYPE","VARCHAR","10","0","0","","20","2023-02-16 19:23:58.112","INT_SOMKIATC"
"VMTEDW","PMH_RTP_REQUEST","FR_PAYEE_PROXY_ID","VARCHAR","20","0","0","","21","2023-02-16 19:23:58.112","INT_SOMKIATC"
"VMTEDW","PMH_RTP_REQUEST","FR_PAYEE_NAME","VARCHAR","50","0","0","","22","2023-02-16 19:23:58.112","INT_SOMKIATC"
"VMTEDW","PMH_RTP_REQUEST","FR_PAYEE_PMH_CUST_TYPE","VARCHAR","1","0","0","","23","2023-02-16 19:23:58.112","INT_SOMKIATC"
"VMTEDW","PMH_RTP_REQUEST","FR_PAYEE_CUST_REF_TYPE","VARCHAR","3","0","0","","24","2023-02-16 19:23:58.112","INT_SOMKIATC"
"VMTEDW","PMH_RTP_REQUEST","FR_PAYEE_CUST_REF_ID","VARCHAR","20","0","0","","25","2023-02-16 19:23:58.112","INT_SOMKIATC"
"VMTEDW","PMH_RTP_REQUEST","FR_PAYEE_BANK","VARCHAR","4","0","0","","26","2023-02-16 19:23:58.112","INT_SOMKIATC"
"VMTEDW","PMH_RTP_REQUEST","FR_PAYEE_ACCOUNT","VARCHAR","20","0","0","","27","2023-02-16 19:23:58.112","INT_SOMKIATC"
"VMTEDW","PMH_RTP_REQUEST","TO_PAYER_PROXY_TYPE","VARCHAR","10","0","0","","28","2023-02-16 19:23:58.112","INT_SOMKIATC"
"VMTEDW","PMH_RTP_REQUEST","TO_PAYER_PROXY_ID","VARCHAR","20","0","0","","29","2023-02-16 19:23:58.112","INT_SOMKIATC"
"VMTEDW","PMH_RTP_REQUEST","TO_PAYER_NAME","VARCHAR","50","0","0","","30","2023-02-16 19:23:58.112","INT_SOMKIATC"
"VMTEDW","PMH_RTP_REQUEST","TO_PAYER_PMH_CUST_TYPE","VARCHAR","1","0","0","","31","2023-02-16 19:23:58.112","INT_SOMKIATC"
"VMTEDW","PMH_RTP_REQUEST","TO_PAYER_CUST_REF_TYPE","VARCHAR","3","0","0","","32","2023-02-16 19:23:58.112","INT_SOMKIATC"
"VMTEDW","PMH_RTP_REQUEST","TO_PAYER_CUST_REF_ID","VARCHAR","20","0","0","","33","2023-02-16 19:23:58.112","INT_SOMKIATC"
"VMTEDW","PMH_RTP_REQUEST","TO_PAYER_BANK","VARCHAR","4","0","0","","34","2023-02-16 19:23:58.112","INT_SOMKIATC"
"VMTEDW","PMH_RTP_REQUEST","TO_PAYER_ACCOUNT","VARCHAR","20","0","0","","35","2023-02-16 19:23:58.112","INT_SOMKIATC"
"VMTEDW","PMH_RTP_REQUEST","RTP_STATUS","VARCHAR","30","0","0","","36","2023-02-16 19:23:58.112","INT_SOMKIATC"
"VMTEDW","PMH_RTP_REQUEST","FR_PAYER_ACCT_TYPE","VARCHAR","2","0","0","","37","2023-02-16 19:23:58.112","INT_SOMKIATC"
"VMTEDW","PMH_RTP_REQUEST","TO_PAYEE_ACCT_TYPE","VARCHAR","2","0","0","","38","2023-02-16 19:23:58.112","INT_SOMKIATC"
"VMTEDW","PMH_RTP_REQUEST","MESSAGE_TYPE","VARCHAR","4","0","0","","39","2023-02-16 19:23:58.112","INT_SOMKIATC"
"VMTEDW","PMH_RTP_REQUEST","TRANS_CODE","VARCHAR","2","0","0","","40","2023-02-16 19:23:58.112","INT_SOMKIATC"
"VMTEDW","PMH_RTP_REQUEST","REGION","VARCHAR","4","0","0","","41","2023-02-16 19:23:58.112","INT_SOMKIATC"
"VMTEDW","PMH_RTP_REQUEST","BRANCH_NO","VARCHAR","4","0","0","","42","2023-02-16 19:23:58.112","INT_SOMKIATC"
"VMTEDW","PMH_RTP_REQUEST","ANYID_FLAG","VARCHAR","4","0","0","","43","2023-02-16 19:23:58.112","INT_SOMKIATC"
"VMTEDW","PMH_RTP_REQUEST","TERMINAL_ID","VARCHAR","16","0","0","","44","2023-02-16 19:23:58.112","INT_SOMKIATC"
"VMTEDW","PMH_RTP_REQUEST","TERMINAL_SEQ_NO","VARCHAR","6","0","0","","45","2023-02-16 19:23:58.112","INT_SOMKIATC"
"VMTEDW","PMH_RTP_REQUEST","REQUEST_FEE_AMT","DECIMAL","12","2","0","","46","2023-02-16 19:23:58.112","INT_SOMKIATC"
"VMTEDW","PMH_RTP_REQUEST","RRN_NO","VARCHAR","12","0","0","","47","2023-02-16 19:23:58.112","INT_SOMKIATC"
"VMTEDW","PMH_RTP_REQUEST","RQUID","VARCHAR","36","0","0","","48","2023-02-16 19:23:58.112","INT_SOMKIATC"
"VMTEDW","PMH_RTP_REQUEST","POST_DT","DATE","0","0","0","","49","2023-02-16 19:23:58.112","INT_SOMKIATC"
"VMTEDW","PMH_RTP_REQUEST","START_DT","DATE","0","0","0","","50","2023-02-16 19:23:58.112","INT_SOMKIATC"
"VMTEDW","PMH_RTP_REQUEST","END_DT","DATE","0","0","0","","51","2023-02-16 19:23:58.112","INT_SOMKIATC"
"VMTEDW","PMH_RTP_REQUEST","RECORD_DELETED_FLAG","BYTEINT","0","0","0","","52","2023-02-16 19:23:58.112","INT_SOMKIATC"
"VMTEDW","PMH_RTP_REQUEST","CTL_ID","CHAR","3","0","0","","53","2023-02-16 19:23:58.112","INT_SOMKIATC"
"VMTEDW","PMH_RTP_REQUEST","INS_PROC_NAME","CHAR","35","0","0","","54","2023-02-16 19:23:58.112","INT_SOMKIATC"
"VMTEDW","PMH_RTP_REQUEST","INS_TXF_BATCHID","INTEGER","0","0","0","","55","2023-02-16 19:23:58.112","INT_SOMKIATC"
"VMTEDW","PMH_RTP_REQUEST","UPD_PROC_NAME","CHAR","35","0","0","","56","2023-02-16 19:23:58.112","INT_SOMKIATC"
"VMTEDW","PMH_RTP_REQUEST","UPD_TXF_BATCHID","INTEGER","0","0","0","","57","2023-02-16 19:23:58.112","INT_SOMKIATC"
