"SCHEMA_NAME","TBL_NAME","COL_NAME","DATA_TYPE","LEN","SCALE","MANDATORY","DEFAULT_VALUE","COL_POSITION","LAST_UPDATE_DATE","LAST_UPDATE_USER"
"VSGEDW","PLT_REFUND_1_0_T1","ACCNO","varchar","16","0","0","","1","2023-02-16 19:45:48.032","montarat"
"VSGEDW","PLT_REFUND_1_0_T1","ADUEDT","date","0","0","0","","2","2023-02-16 19:45:48.032","montarat"
"VSGEDW","PLT_REFUND_1_0_T1","AREFUND","decimal","14","2","0","","3","2023-02-16 19:45:48.032","montarat"
"VSGEDW","PLT_REFUND_1_0_T1","CTL_ID","char","3","0","0","","4","2023-02-16 19:45:48.032","montarat"
"VSGEDW","PLT_REFUND_1_0_T1","DREFUND","date","0","0","0","","5","2023-02-16 19:45:48.032","montarat"
"VSGEDW","PLT_REFUND_1_0_T1","EDW_RECORD_NO","BIGINT","0","0","0","","6","2023-02-16 19:45:48.032","montarat"
"VSGEDW","PLT_REFUND_1_0_T1","END_DT","date","0","0","0","","7","2023-02-16 19:45:48.032","montarat"
"VSGEDW","PLT_REFUND_1_0_T1","INS_PROC_NAME","char","35","0","0","","8","2023-02-16 19:45:48.032","montarat"
"VSGEDW","PLT_REFUND_1_0_T1","INS_TXF_BATCHID","int","0","0","0","","9","2023-02-16 19:45:48.032","montarat"
"VSGEDW","PLT_REFUND_1_0_T1","POLICYNO","varchar","20","0","0","","10","2023-02-16 19:45:48.032","montarat"
"VSGEDW","PLT_REFUND_1_0_T1","RECORD_DELETED_FLAG","smallint","0","0","0","","11","2023-02-16 19:45:48.032","montarat"
"VSGEDW","PLT_REFUND_1_0_T1","START_DT","date","0","0","0","","12","2023-02-16 19:45:48.032","montarat"
"VSGEDW","PLT_REFUND_1_0_T1","UPD_PROC_NAME","char","35","0","0","","13","2023-02-16 19:45:48.032","montarat"
"VSGEDW","PLT_REFUND_1_0_T1","UPD_TXF_BATCHID","int","0","0","0","","14","2023-02-16 19:45:48.032","montarat"
