"INTERFACE_NAME","COL_NAME","EXPRESSION","EXE_DB","INSERT_FLAG","UPDATE_FLAG","KEY_UPD","UD1","UD2","UD3","UD4","UD5","COL_POSITION","LAST_UPDATE_DATE","LAST_UPDATE_USER"
"INT_T_ESL_EDW_ACCT_STATS_SUM_AM4","As_Of_Dt","VESL_EDW_ACCT_STATS_SUM_AM_4.As_Of_Dt","0","1","1","0","0","0","0","0","0","1","2023-03-09 06:24:32.780","Phase1"
"INT_T_ESL_EDW_ACCT_STATS_SUM_AM4","Account_Num","VESL_EDW_ACCT_STATS_SUM_AM_4.Account_Num","0","1","1","0","0","0","0","0","0","2","2023-03-09 06:24:32.780","Phase1"
"INT_T_ESL_EDW_ACCT_STATS_SUM_AM4","Account_Modifier_Num","VESL_EDW_ACCT_STATS_SUM_AM_4.Account_Modifier_Num","0","1","1","0","0","0","0","0","0","3","2023-03-09 06:24:32.780","Phase1"
"INT_T_ESL_EDW_ACCT_STATS_SUM_AM4","Acct_Product_Id","VESL_EDW_ACCT_STATS_SUM_AM_4.Acct_Product_Id","0","1","1","0","0","0","0","0","0","4","2023-03-09 06:24:32.780","Phase1"
"INT_T_ESL_EDW_ACCT_STATS_SUM_AM4","Agmt_Ctl_Id","VESL_EDW_ACCT_STATS_SUM_AM_4.Agmt_Ctl_Id","0","1","1","0","0","0","0","0","0","5","2023-03-09 06:24:32.780","Phase1"
"INT_T_ESL_EDW_ACCT_STATS_SUM_AM4","Base_Account_Num","VESL_EDW_ACCT_STATS_SUM_AM_4.Base_Account_Num","0","1","1","0","0","0","0","0","0","6","2023-03-09 06:24:32.780","Phase1"
"INT_T_ESL_EDW_ACCT_STATS_SUM_AM4","Min_Deposit_Bal_Amt","VESL_EDW_ACCT_STATS_SUM_AM_4.MIND_BANK_BALANCE_AMT_DD","0","1","1","0","0","0","0","0","0","7","2023-03-09 06:24:32.780","Phase1"
"INT_T_ESL_EDW_ACCT_STATS_SUM_AM4","Min_Deposit_Bal_THB_Amt","VESL_EDW_ACCT_STATS_SUM_AM_4.MIND_BANK_BALANCE_AMT_BAHT_DD","0","1","1","0","0","0","0","0","0","8","2023-03-09 06:24:32.780","Phase1"
"INT_T_ESL_EDW_ACCT_STATS_SUM_AM4","Max_Deposit_Bal_Amt","VESL_EDW_ACCT_STATS_SUM_AM_4.MAXD_BANK_BALANCE_AMT_DD","0","1","1","0","0","0","0","0","0","9","2023-03-09 06:24:32.780","Phase1"
"INT_T_ESL_EDW_ACCT_STATS_SUM_AM4","Max_Deposit_Bal_THB_Amt","VESL_EDW_ACCT_STATS_SUM_AM_4.MAXD_BANK_BALANCE_AMT_BAHT_DD","0","1","1","0","0","0","0","0","0","10","2023-03-09 06:24:32.780","Phase1"
"INT_T_ESL_EDW_ACCT_STATS_SUM_AM4","Min_Funding_Bal_Amt","VESL_EDW_ACCT_STATS_SUM_AM_4.MINF_BANK_BALANCE_AMT_DD","0","1","1","0","0","0","0","0","0","11","2023-03-09 06:24:32.780","Phase1"
"INT_T_ESL_EDW_ACCT_STATS_SUM_AM4","Min_Funding_Bal_THB_Amt","VESL_EDW_ACCT_STATS_SUM_AM_4.MINF_BANK_BALANCE_AMT_BAHT_DD","0","1","1","0","0","0","0","0","0","12","2023-03-09 06:24:32.780","Phase1"
"INT_T_ESL_EDW_ACCT_STATS_SUM_AM4","Max_Funding_Bal_Amt","VESL_EDW_ACCT_STATS_SUM_AM_4.MAXF_BANK_BALANCE_AMT_DD","0","1","1","0","0","0","0","0","0","13","2023-03-09 06:24:32.780","Phase1"
"INT_T_ESL_EDW_ACCT_STATS_SUM_AM4","Max_Funding_Bal_THB_Amt","VESL_EDW_ACCT_STATS_SUM_AM_4.MAXF_BANK_BALANCE_AMT_BAHT_DD","0","1","1","0","0","0","0","0","0","14","2023-03-09 06:24:32.780","Phase1"
"INT_T_ESL_EDW_ACCT_STATS_SUM_AM4","Min_Non_Funding_Bal_Amt","VESL_EDW_ACCT_STATS_SUM_AM_4.MINN_BANK_BALANCE_AMT_DD","0","1","1","0","0","0","0","0","0","15","2023-03-09 06:24:32.780","Phase1"
"INT_T_ESL_EDW_ACCT_STATS_SUM_AM4","Min_Non_Funding_Bal_THB_Amt","VESL_EDW_ACCT_STATS_SUM_AM_4.MINN_BANK_BALANCE_AMT_BAHT_DD","0","1","1","0","0","0","0","0","0","16","2023-03-09 06:24:32.780","Phase1"
"INT_T_ESL_EDW_ACCT_STATS_SUM_AM4","Max_Non_Funding_Bal_Amt","VESL_EDW_ACCT_STATS_SUM_AM_4.MAXN_BANK_BALANCE_AMT_DD","0","1","1","0","0","0","0","0","0","17","2023-03-09 06:24:32.780","Phase1"
"INT_T_ESL_EDW_ACCT_STATS_SUM_AM4","Max_Non_Funding_Bal_THB_Amt","VESL_EDW_ACCT_STATS_SUM_AM_4.MAXN_BANK_BALANCE_AMT_BAHT_DD","0","1","1","0","0","0","0","0","0","18","2023-03-09 06:24:32.780","Phase1"
"INT_T_ESL_EDW_ACCT_STATS_SUM_AM4","MTD_Deposit_Avg_Bal_Amt","VESL_EDW_ACCT_STATS_SUM_AM_4.AVGD_BANK_BALANCE_AMT_DD","0","1","1","0","0","0","0","0","0","29","2023-03-09 06:24:32.780","Phase1"
"INT_T_ESL_EDW_ACCT_STATS_SUM_AM4","MTD_Deposit_Avg_Bal_THB_Amt","VESL_EDW_ACCT_STATS_SUM_AM_4.AVGD_BANK_BALANCE_AMT_BAHT_DD","0","1","1","0","0","0","0","0","0","30","2023-03-09 06:24:32.780","Phase1"
"INT_T_ESL_EDW_ACCT_STATS_SUM_AM4","MTD_Funding_Avg_Bal_Amt","VESL_EDW_ACCT_STATS_SUM_AM_4.AVGF_BANK_BALANCE_AMT_DD","0","1","1","0","0","0","0","0","0","31","2023-03-09 06:24:32.780","Phase1"
